Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C3.P7      1608[0603]           26.875mm        27.7mm      26.875mm        27.7mm      26.175mm        27.7mm  B        360.00 Cap Semi       
C3.P6      1608[0603]           26.875mm        18.2mm      26.875mm        18.2mm      26.175mm        18.2mm  B        360.00 Cap Semi       
C3.P5      1608[0603]           19.875mm        18.2mm      19.875mm        18.2mm      19.175mm        18.2mm  B        360.00 Cap Semi       
C3.P4      1608[0603]           26.875mm         8.7mm      26.875mm         8.7mm      26.175mm         8.7mm  B        360.00 Cap Semi       
C3.P3      1608[0603]           19.875mm         8.7mm      19.875mm         8.7mm      19.175mm         8.7mm  B        360.00 Cap Semi       
C3.P2      1608[0603]           26.875mm        -0.8mm      26.875mm        -0.8mm      26.175mm        -0.8mm  B        360.00 Cap Semi       
C31.P9     0402                   12.3mm        33.8mm        12.3mm        33.8mm        12.3mm        34.3mm  B        270.00 Cap Semi       
C31.P8     0402                   18.8mm        33.8mm        18.8mm        33.8mm        18.8mm        34.3mm  B        270.00 Cap Semi       
C31.P7     0402                   25.8mm        33.8mm        25.8mm        33.8mm        25.8mm        34.3mm  B        270.00 Cap Semi       
C31.P6     0402                   25.8mm        24.3mm        25.8mm        24.3mm        25.8mm        24.8mm  B        270.00 Cap Semi       
C31.P5     0402                   18.8mm        24.3mm        18.8mm        24.3mm        18.8mm        24.8mm  B        270.00 Cap Semi       
C31.P4     0402                   25.8mm        14.8mm        25.8mm        14.8mm        25.8mm        15.3mm  B        270.00 Cap Semi       
C31.P3     0402                   18.8mm        14.8mm        18.8mm        14.8mm        18.8mm        15.3mm  B        270.00 Cap Semi       
C31.P2     0402                   25.8mm         5.3mm        25.8mm         5.3mm        25.8mm         5.8mm  B        270.00 Cap Semi       
C31.P1     0402                   18.8mm         5.3mm        18.8mm         5.3mm        18.8mm         5.8mm  B        270.00 Cap Semi       
C4.P9      1608[0603]              9.7mm      33.525mm         9.7mm      33.525mm         9.7mm      32.825mm  T         90.00 Cap Semi       
C4.P8      1608[0603]             16.2mm      33.525mm        16.2mm      33.525mm        16.2mm      32.825mm  T         90.00 Cap Semi       
C4.P7      1608[0603]             23.2mm      33.525mm        23.2mm      33.525mm        23.2mm      32.825mm  T         90.00 Cap Semi       
C4.P6      1608[0603]             23.2mm      24.025mm        23.2mm      24.025mm        23.2mm      23.325mm  T         90.00 Cap Semi       
C4.P5      1608[0603]             16.2mm      24.025mm        16.2mm      24.025mm        16.2mm      23.325mm  T         90.00 Cap Semi       
C4.P4      1608[0603]             23.2mm      14.525mm        23.2mm      14.525mm        23.2mm      13.825mm  T         90.00 Cap Semi       
C4.P3      1608[0603]             16.2mm      14.525mm        16.2mm      14.525mm        16.2mm      13.825mm  T         90.00 Cap Semi       
C4.P2      1608[0603]             23.2mm       5.025mm        23.2mm       5.025mm        23.2mm       4.325mm  T         90.00 Cap Semi       
C4.P1      1608[0603]             16.2mm       5.025mm        16.2mm       5.025mm        16.2mm       4.325mm  T         90.00 Cap Semi       
C30.P9     0402                  48.55mm       25.05mm       48.55mm       25.05mm       49.05mm       25.05mm  B        180.00 Cap Semi       
C30.P8     0402                  50.65mm       25.05mm       50.65mm       25.05mm       50.15mm       25.05mm  B        360.00 Cap Semi       
C30.P7     0402                  50.65mm          26mm       50.65mm          26mm       50.15mm          26mm  B        360.00 Cap Semi       
C30.P6     0402                  50.65mm        24.1mm       50.65mm        24.1mm       50.15mm        24.1mm  B        360.00 Cap Semi       
C30.P5     0402                  48.55mm        24.1mm       48.55mm        24.1mm       49.05mm        24.1mm  B        180.00 Cap Semi       
C30.P4     0402                  50.65mm        22.9mm       50.65mm        22.9mm       50.15mm        22.9mm  B        360.00 Cap Semi       
C30.P3     0402                  48.55mm        22.9mm       48.55mm        22.9mm       49.05mm        22.9mm  B        180.00 Cap Semi       
